epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1149.81,1.15265,0.57058,0.97413,0.92078,0.86805,0.93526,0.62308,1.17313,0.50917,1.00959,0.000495266,0.000495266,0.000495266
73,1165.84,1.13196,0.56122,0.97011,0.92947,0.86912,0.93643,0.6228,1.17494,0.50842,1.01263,0.000478762,0.000478762,0.000478762
74,1181.56,1.13078,0.56052,0.97035,0.9346,0.86179,0.93547,0.62378,1.17804,0.51016,1.00974,0.000462259,0.000462259,0.000462259
75,1197.54,1.11702,0.55798,0.96964,0.93705,0.86698,0.937,0.62107,1.1762,0.51196,1.01026,0.000445756,0.000445756,0.000445756
76,1213.63,1.12909,0.557,0.97071,0.9309,0.86601,0.93998,0.62513,1.17387,0.50453,1.00971,0.000429253,0.000429253,0.000429253
77,1229.66,1.12941,0.56034,0.97164,0.92722,0.86074,0.93779,0.62495,1.17017,0.51008,1.0099,0.000412749,0.000412749,0.000412749
78,1245.8,1.11621,0.55354,0.97139,0.94204,0.85343,0.93785,0.62381,1.16914,0.50713,1.00846,0.000396246,0.000396246,0.000396246
79,1261.36,1.12979,0.55742,0.96626,0.94244,0.85553,0.93804,0.62114,1.1766,0.50804,1.01228,0.000379743,0.000379743,0.000379743
80,1277.18,1.12057,0.54964,0.96828,0.92842,0.86432,0.93804,0.62409,1.17419,0.50628,1.01305,0.000363239,0.000363239,0.000363239
81,1293.46,1.10945,0.54691,0.96544,0.92686,0.86849,0.93873,0.62682,1.17358,0.5083,1.01112,0.000346736,0.000346736,0.000346736
82,1309.46,1.11238,0.54542,0.96747,0.93136,0.86659,0.93626,0.62438,1.17509,0.5063,1.0124,0.000330233,0.000330233,0.000330233
83,1325.58,1.11067,0.54424,0.96702,0.93814,0.8584,0.9381,0.62395,1.17544,0.50667,1.01117,0.000313729,0.000313729,0.000313729
84,1341.57,1.10848,0.54246,0.96075,0.92011,0.87508,0.93837,0.62632,1.17525,0.50374,1.00954,0.000297226,0.000297226,0.000297226
85,1357.42,1.10454,0.54664,0.96246,0.93967,0.85511,0.93608,0.62649,1.17016,0.5048,1.00953,0.000280723,0.000280723,0.000280723
86,1373.29,1.10981,0.53947,0.96184,0.93271,0.86456,0.93979,0.62703,1.17575,0.50183,1.01075,0.00026422,0.00026422,0.00026422
87,1389.57,1.09656,0.53605,0.95997,0.93469,0.86794,0.93831,0.62573,1.17621,0.50284,1.01104,0.000247716,0.000247716,0.000247716
88,1405.8,1.10377,0.5349,0.96081,0.93516,0.86788,0.93833,0.62352,1.17458,0.50198,1.00964,0.000231213,0.000231213,0.000231213
89,1421.84,1.09947,0.53632,0.95781,0.93255,0.86561,0.93801,0.62298,1.17668,0.50302,1.01099,0.00021471,0.00021471,0.00021471
90,1437.82,1.09575,0.53301,0.96077,0.9412,0.85954,0.93713,0.62646,1.176,0.50347,1.01202,0.000198206,0.000198206,0.000198206
91,1454.68,1.07497,0.47895,0.95537,0.92452,0.86796,0.93449,0.62183,1.18036,0.5063,1.01244,0.000181703,0.000181703,0.000181703
92,1470.77,1.07044,0.47365,0.95397,0.92748,0.86938,0.93495,0.62064,1.18016,0.50591,1.01188,0.0001652,0.0001652,0.0001652
93,1486.6,1.06719,0.4662,0.9548,0.93271,0.8609,0.93632,0.6236,1.17316,0.50236,1.00999,0.000148696,0.000148696,0.000148696
94,1502.32,1.06055,0.46456,0.95454,0.92378,0.86644,0.93443,0.62478,1.17266,0.50665,1.00993,0.000132193,0.000132193,0.000132193
95,1518.29,1.06204,0.46395,0.95136,0.92338,0.87,0.93526,0.62276,1.17451,0.50603,1.0124,0.00011569,0.00011569,0.00011569
96,1534.01,1.06182,0.46243,0.95133,0.93867,0.85866,0.93325,0.62311,1.17376,0.50446,1.01185,9.91865e-05,9.91865e-05,9.91865e-05
97,1549.67,1.05514,0.46091,0.94863,0.93413,0.86037,0.93324,0.62314,1.17492,0.50512,1.01145,8.26832e-05,8.26832e-05,8.26832e-05
98,1565.18,1.05391,0.46016,0.94887,0.92951,0.86552,0.93338,0.62306,1.17301,0.50415,1.00975,6.61799e-05,6.61799e-05,6.61799e-05
99,1580.99,1.05268,0.45964,0.94657,0.92633,0.86864,0.93322,0.62322,1.17391,0.50525,1.01049,4.96766e-05,4.96766e-05,4.96766e-05
100,1596.8,1.04864,0.45764,0.94757,0.93603,0.85983,0.93332,0.62292,1.17493,0.50556,1.01031,3.31733e-05,3.31733e-05,3.31733e-05
